Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
580.4937@16.11,"3","78.77","99.97","95.09","80.41","6","DG(14:0/18:3(9Z,12Z,15Z)/0:0)","C35H62O5","Diacylglycerols","32:3","14:0/18:3","562.4597","0.3","[M+NH4]+"
589.4843@16.19,"3","73.34","96.87","0.00","73.15","4","DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C37H64O5","Diacylglycerols","34:4","16:1/18:3","588.4754","2.8","[M+H]+"
606.5093@16.19,"3","79.27","100.00","94.81","90.57","6","DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C37H64O5","Diacylglycerols","34:4","16:1/18:3","588.4754","0.1","[M+NH4]+"
589.4825@16.20,"3","78.60","99.98","98.95","73.03","4","DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C37H64O5","Diacylglycerols","34:4","16:1/18:3","588.4754","0.2","[M+H]+"
645.5454@16.23,"3","77.90","99.97","84.97","73.17","2","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H72O5","Diacylglycerols","38:4","18:0/20:4","644.5380","0.3","[M+H]+"
630.5090@16.34,"3","77.62","99.96","67.74","84.69","5","DG(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C39H64O5","Diacylglycerols","36:6","14:0/22:6","612.4754","0.3","[M+NH4]+"
656.5252@16.45,"3","74.21","99.89","0.00","84.38","5","DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C41H66O5","Diacylglycerols","38:7","16:1/22:6","638.4910","0.5","[M+NH4]+"
632.5250@16.47,"3","79.30","99.99","98.79","87.20","6","DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)","C39H66O5","Diacylglycerols","36:5","18:2/18:3","614.4910","0.1","[M+NH4]+"
615.4985@16.47,"3","78.18","99.95","97.29","66.37","4","DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)","C39H66O5","Diacylglycerols","36:5","18:2/18:3","614.4910","0.3","[M+H]+"
656.5248@16.49,"3","78.53","99.98","88.17","82.38","5","DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C41H66O5","Diacylglycerols","38:7","16:1/22:6","638.4910","0.2","[M+NH4]+"
682.5407@16.70,"3","78.79","99.96","89.93","85.94","6","DG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C43H68O5","Diacylglycerols","40:8","18:2/22:6","664.5067","0.3","[M+NH4]+"
513.4515@16.72,"3","73.39","99.98","0.00","67.89","3","DG(12:0/16:0/0:0)","C31H60O5","Diacylglycerols","28:0","12:0/16:0","512.4441","0.2","[M+H]+"
556.4939@16.77,"3","79.29","99.84","99.18","86.98","6","DG(14:0/16:1(9Z)/0:0)","C33H62O5","Diacylglycerols","30:1","14:0/16:1","538.4597","0.7","[M+NH4]+"
539.4677@16.78,"3","78.71","99.40","94.34","81.06","4","DG(12:0/18:1(9Z)/0:0)","C33H62O5","Diacylglycerols","30:1","12:0/18:1","538.4597","1.3","[M+H]+"
632.5250@16.81,"3","79.25","99.97","98.98","86.13","6","DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C39H66O5","Diacylglycerols","36:5","16:1/20:4","614.4910","0.2","[M+NH4]+"
556.4940@16.83,"3","79.31","99.83","99.06","87.39","6","DG(14:1(9Z)/16:0/0:0)","C33H62O5","Diacylglycerols","30:1","14:1/16:0","538.4597","0.7","[M+NH4]+"
582.5096@16.88,"3","79.39","99.85","95.62","92.41","6","DG(16:1(9Z)/16:1(9Z)/0:0)","C35H64O5","Diacylglycerols","32:2","16:1/16:1","564.4754","0.6","[M+NH4]+"
565.4835@16.90,"3","78.85","99.04","97.27","81.73","4","DG(16:1(9Z)/16:1(9Z)/0:0)","C35H64O5","Diacylglycerols","32:2","16:1/16:1","564.4754","1.6","[M+H]+"
658.5408@16.94,"3","76.65","99.91","49.14","84.12","5","DG(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C41H68O5","Diacylglycerols","38:6","16:1/22:5","640.5067","0.4","[M+NH4]+"
587.4650@16.95,"3","77.01","95.13","99.04","50.97","1","DG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/0:0)","C37H62O5","Diacylglycerols","34:5","18:4/16:1","586.4597","3.5","[M+H]+"
565.4844@17.04,"3","77.70","96.25","83.79","77.71","4","DG(14:0/18:2(9Z,12Z)/0:0)","C35H64O5","Diacylglycerols","32:2","14:0/18:2","564.4754","3.1","[M+H]+"
582.5096@17.05,"3","79.25","99.79","99.42","85.91","6","DG(14:0/18:2(9Z,12Z)/0:0)","C35H64O5","Diacylglycerols","32:2","14:0/18:2","564.4754","0.7","[M+NH4]+"
641.5151@17.07,"3","77.62","98.43","93.56","61.98","2","DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H68O5","Diacylglycerols","38:6","18:2/20:4","640.5067","1.8","[M+H]+"
658.5405@17.07,"3","78.97","99.99","98.43","81.01","6","DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H68O5","Diacylglycerols","38:6","18:2/20:4","640.5067","0.1","[M+NH4]+"
608.5252@17.12,"3","79.29","99.89","99.06","87.04","6","DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:1/18:2","590.4910","0.5","[M+NH4]+"
684.5568@17.17,"3","77.92","99.63","71.41","87.67","6","DG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H70O5","Diacylglycerols","40:7","18:2/22:5","666.5223","0.8","[M+NH4]+"
632.5252@17.25,"3","79.23","99.85","99.60","85.26","6","DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C39H66O5","Diacylglycerols","36:5","16:0/20:5","614.4910","0.6","[M+NH4]+"
658.5406@17.27,"3","78.88","99.99","99.20","78.47","6","DG(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C41H68O5","Diacylglycerols","38:6","18:1/20:5","640.5067","0.2","[M+NH4]+"
617.5142@17.37,"3","78.36","99.91","99.97","67.46","4","DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C39H68O5","Diacylglycerols","36:4","18:1/18:3","616.5067","0.4","[M+H]+"
634.5408@17.38,"3","79.32","99.90","98.23","88.37","6","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)","C39H68O5","Diacylglycerols","36:4","18:2/18:2","616.5067","0.5","[M+NH4]+"
570.5095@17.50,"3","79.00","99.92","96.62","83.51","5","DG(15:0/16:1(9Z)/0:0)","C34H64O5","Diacylglycerols","31:1","15:0/16:1","552.4754","0.5","[M+NH4]+"
591.4985@17.51,"3","78.33","99.95","85.73","80.99","4","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:0/18:3","590.4910","0.3","[M+H]+"
608.5252@17.52,"3","78.82","99.89","98.67","78.02","6","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:0/18:3","590.4910","0.5","[M+NH4]+"
617.5142@17.52,"3","78.38","99.92","93.90","73.92","4","DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C39H68O5","Diacylglycerols","36:4","18:1/18:3","616.5067","0.4","[M+H]+"
634.5407@17.53,"3","79.34","99.95","99.93","86.95","6","DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C39H68O5","Diacylglycerols","36:4","18:1/18:3","616.5067","0.3","[M+NH4]+"
596.5251@17.53,"3","79.27","99.91","99.79","85.82","4","DG(16:1(9Z)/17:1(9Z)/0:0)","C36H66O5","Diacylglycerols","33:2","16:1/17:1","578.4910","0.5","[M+NH4]+"
660.5572@17.68,"3","78.56","98.79","85.71","87.97","6","DG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:2/20:3","642.5223","1.6","[M+NH4]+"
641.5142@17.72,"3","78.72","99.93","99.28","75.19","4","DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C41H68O5","Diacylglycerols","38:6","16:0/22:6","640.5067","0.4","[M+H]+"
596.5252@17.72,"3","79.27","99.87","99.63","86.00","5","DG(15:0/18:2(9Z,12Z)/0:0)","C36H66O5","Diacylglycerols","33:2","15:0/18:2","578.4910","0.6","[M+NH4]+"
658.5409@17.72,"3","79.18","99.87","98.92","84.87","6","DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C41H68O5","Diacylglycerols","38:6","16:0/22:6","640.5067","0.5","[M+NH4]+"
622.5408@17.77,"3","79.46","99.92","98.18","91.15","6","DG(17:1(9Z)/18:2(9Z,12Z)/0:0)","C38H68O5","Diacylglycerols","35:3","17:1/18:2","604.5067","0.4","[M+NH4]+"
660.5572@17.83,"3","79.23","98.90","97.92","88.81","5","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","1.5","[M+NH4]+"
634.5409@18.09,"3","79.19","99.80","98.84","85.37","6","DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)","C39H68O5","Diacylglycerols","36:4","16:0/20:4","616.5067","0.7","[M+NH4]+"
827.7108@18.10,"3","72.65","97.60","0.00","57.73","2","TG(14:0/16:0/20:4(5Z,8Z,11Z,14Z))","C53H94O6","Triacylglycerols","50:4","14:0/16:0/20:4","826.7050","1.9","[M+H]+"
,"3","65.91","31.75","0.00","54.72","1","SM(d17:1/26:1)","C48H95N2O6P","Ceramide phosphocholines (sphingomyelins)","43:2","-","826.6928","12.9","[M+H]+"
541.4832@18.11,"3","79.50","99.61","98.05","92.83","4","DG(14:0/16:0/0:0)","C33H64O5","Diacylglycerols","30:0","14:0/16:0","540.4754","1.0","[M+H]+"
558.5097@18.12,"3","78.33","99.71","79.47","87.69","5","DG(14:0/16:0/0:0)","C33H64O5","Diacylglycerols","30:0","14:0/16:0","540.4754","0.9","[M+NH4]+"
643.5299@18.14,"3","78.45","99.89","98.63","70.59","4","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","0.5","[M+H]+"
567.4988@18.14,"3","78.72","99.76","99.97","74.83","4","DG(14:0/18:1(9Z)/0:0)","C35H66O5","Diacylglycerols","32:1","14:0/18:1","566.4910","0.8","[M+H]+"
660.5566@18.15,"3","78.87","99.82","98.13","79.54","6","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","0.6","[M+NH4]+"
584.5253@18.15,"3","79.46","99.75","98.97","90.64","6","DG(16:0/16:1(9Z)/0:0)","C35H66O5","Diacylglycerols","32:1","16:0/16:1","566.4910","0.8","[M+NH4]+"
593.5144@18.15,"3","78.99","99.80","99.89","80.30","4","DG(16:1(9Z)/18:1(9Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:1/18:1","592.5067","0.7","[M+H]+"
610.5410@18.15,"3","79.59","99.76","99.22","93.12","6","DG(16:1(9Z)/18:1(9Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:1/18:1","592.5067","0.7","[M+NH4]+"
853.7272@18.16,"3","75.38","99.46","54.56","54.03","1","TG(12:0/18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","C55H96O6","Triacylglycerols","52:5","12:0/18:1/22:4","852.7207","0.9","[M+H]+"
669.5457@18.16,"3","77.64","99.78","83.69","69.56","4","DG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H72O5","Diacylglycerols","40:6","18:1/22:5","668.5380","0.7","[M+H]+"
686.5712@18.17,"3","78.64","99.58","95.84","77.79","6","DG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H72O5","Diacylglycerols","40:6","18:1/22:5","668.5380","0.9","[M+NH4]+"
853.7276@18.34,"3","74.84","99.85","36.78","60.24","2","TG(16:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","C55H96O6","Triacylglycerols","52:5","16:1/18:1/18:3","852.7207","0.5","[M+H]+"
593.5146@18.37,"3","79.03","99.56","98.62","82.85","4","DG(16:0/18:2(9Z,12Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:0/18:2","592.5067","1.0","[M+H]+"
610.5411@18.38,"3","79.41","99.65","99.51","89.48","6","DG(16:0/18:2(9Z,12Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:0/18:2","592.5067","0.9","[M+NH4]+"
636.5566@18.38,"3","79.50","99.74","98.28","92.14","6","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","C39H70O5","Diacylglycerols","36:3","18:1/18:2","618.5223","0.7","[M+NH4]+"
827.7138@18.38,"4","98.25","97.82","95.96","73.31","4","TG(16:0/16:0/18:4(6Z,9Z,12Z,15Z))","C53H94O6","Triacylglycerols","50:4","16:0/16:0/18:4","826.7050","1.8","[M+H]+"
572.5254@18.46,"3","78.91","99.60","99.31","79.71","4","DG(15:0/16:0/0:0)","C34H66O5","Diacylglycerols","31:0","15:0/16:0","554.4910","1.0","[M+NH4]+"
598.5411@18.46,"3","78.11","99.54","79.83","83.31","4","DG(15:0/18:1(9Z)/0:0)","C36H68O5","Diacylglycerols","33:1","15:0/18:1","580.5067","1.0","[M+NH4]+"
686.5721@18.55,"3","78.73","99.93","96.57","78.18","5","DG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H72O5","Diacylglycerols","40:6","18:1/22:5","668.5380","0.4","[M+NH4]+"
660.5574@18.55,"3","78.98","98.41","99.52","83.22","6","DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C41H70O5","Diacylglycerols","38:5","16:0/22:5","642.5223","1.8","[M+NH4]+"
619.5303@18.62,"3","78.89","99.47","98.88","79.97","4","DG(16:0/20:3(8Z,11Z,14Z)/0:0)","C39H70O5","Diacylglycerols","36:3","16:0/20:3","618.5223","1.1","[M+H]+"
645.5459@18.65,"3","77.51","99.56","83.11","67.88","4","DG(18:1(9Z)/20:3(8Z,11Z,14Z)/0:0)","C41H72O5","Diacylglycerols","38:4","18:1/20:3","644.5380","1.0","[M+H]+"
662.5723@18.66,"3","78.75","99.74","99.81","75.66","5","DG(18:2(9Z,12Z)/20:2(11Z,14Z)/0:0)","C41H72O5","Diacylglycerols","38:4","18:2/20:2","644.5380","0.7","[M+NH4]+"
581.5129@18.74,"3","79.00","98.72","98.25","84.34","3","DG(15:0/18:1(9Z)/0:0)","C36H68O5","Diacylglycerols","33:1","15:0/18:1","580.5067","1.8","[M+H]+"
598.5410@18.74,"3","79.06","99.70","99.49","82.26","5","DG(15:0/18:1(9Z)/0:0)","C36H68O5","Diacylglycerols","33:1","15:0/18:1","580.5067","0.8","[M+NH4]+"
572.5252@18.76,"3","79.23","99.85","97.50","87.35","4","DG(15:0/16:0/0:0)","C34H66O5","Diacylglycerols","31:0","15:0/16:0","554.4910","0.6","[M+NH4]+"
610.5410@18.82,"3","76.84","99.78","71.65","65.49","3","DG(16:0/18:2(9Z,12Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:0/18:2","592.5067","0.7","[M+NH4]+"
881.7584@18.90,"3","72.79","99.19","0.00","57.34","2","TG(18:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","C57H100O6","Triacylglycerols","54:5","18:1/18:1/18:3","880.7520","1.0","[M+H]+"
671.5625@18.95,"3","73.33","97.21","0.00","72.15","4","DG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","C43H74O5","Diacylglycerols","40:5","18:1/22:4","670.5536","2.4","[M+H]+"
650.5724@18.95,"3","78.72","99.64","97.87","77.27","6","DG(19:1(9Z)/18:2(9Z,12Z)/0:0)","C40H72O5","Diacylglycerols","37:3","19:1/18:2","632.5380","0.9","[M+NH4]+"
688.5883@18.96,"3","79.18","99.22","99.74","85.47","6","DG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","C43H74O5","Diacylglycerols","40:5","18:1/22:4","670.5536","1.2","[M+NH4]+"
662.5721@18.96,"3","79.03","99.89","99.30","81.44","6","DG(16:0/22:4(7Z,10Z,13Z,16Z)/0:0)","C41H72O5","Diacylglycerols","38:4","16:0/22:4","644.5380","0.5","[M+NH4]+"
881.7594@19.05,"3","72.96","99.99","0.00","59.22","2","TG(18:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","C57H100O6","Triacylglycerols","54:5","18:1/18:1/18:3","880.7520","0.1","[M+H]+"
855.7435@19.07,"3","72.95","99.99","0.00","58.96","2","TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))","C55H98O6","Triacylglycerols","52:4","16:0/16:0/20:4","854.7363","0.1","[M+H]+"
881.7607@19.22,"3","77.43","98.02","92.79","59.85","3","TG(18:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))","C57H100O6","Triacylglycerols","54:5","18:1/18:1/18:3","880.7520","1.6","[M+H]+"
855.7441@19.25,"4","98.61","99.76","95.99","76.74","4","TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))","C55H98O6","Triacylglycerols","52:4","16:0/16:0/20:4","854.7363","0.6","[M+H]+"
643.5282@19.31,"3","77.28","97.70","97.30","52.84","1","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","2.2","[M+H]+"
662.5723@19.32,"3","79.22","99.78","99.97","84.90","6","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H72O5","Diacylglycerols","38:4","18:0/20:4","644.5380","0.7","[M+NH4]+"
621.5459@19.32,"3","78.65","99.52","88.82","85.14","4","DG(18:1(9Z)/18:1(9Z)/0:0)","C39H72O5","Diacylglycerols","36:2","18:1/18:1","620.5380","1.0","[M+H]+"
638.5723@19.32,"3","79.66","99.70","99.37","94.45","6","DG(18:1(9Z)/18:1(9Z)/0:0)","C39H72O5","Diacylglycerols","36:2","18:1/18:1","620.5380","0.8","[M+NH4]+"
595.5302@19.33,"3","79.24","99.59","99.79","85.89","4","DG(16:0/18:1(11Z)/0:0)","C37H70O5","Diacylglycerols","34:1","16:0/18:1","594.5223","1.0","[M+H]+"
612.5568@19.34,"3","79.66","99.59","99.83","94.13","6","DG(16:0/18:1(11Z)/0:0)","C37H70O5","Diacylglycerols","34:1","16:0/18:1","594.5223","1.0","[M+NH4]+"
855.7439@19.34,"4","93.62","99.90","0.00","72.69","4","TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))","C55H98O6","Triacylglycerols","52:4","16:0/16:0/20:4","854.7363","0.4","[M+H]+"
569.5164@19.36,"3","78.78","93.22","97.74","91.50","4","DG(16:0/16:0/0:0)","C35H68O5","Diacylglycerols","32:0","16:0/16:0","568.5067","4.2","[M+H]+"
688.5890@19.36,"3","78.50","97.44","98.40","76.71","6","DG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C43H74O5","Diacylglycerols","40:5","18:0/22:5","670.5536","2.2","[M+NH4]+"
586.5410@19.36,"3","79.33","99.70","98.61","88.61","5","DG(16:0/16:0/0:0)","C35H68O5","Diacylglycerols","32:0","16:0/16:0","568.5067","0.8","[M+NH4]+"
591.4964@19.37,"3","77.18","95.96","98.63","53.00","1","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:0/18:3","590.4910","3.1","[M+H]+"
638.5725@19.56,"3","79.49","99.47","99.93","90.88","6","DG(18:0/18:2(9Z,12Z)/0:0)","C39H72O5","Diacylglycerols","36:2","18:0/18:2","620.5380","1.1","[M+NH4]+"
600.5569@19.61,"3","78.35","99.47","88.89","79.17","4","DG(16:0/17:0/0:0)","C36H70O5","Diacylglycerols","33:0","16:0/17:0","582.5223","1.1","[M+NH4]+"
626.5725@19.64,"3","79.28","99.51","99.79","86.84","5","DG(17:0/18:1(9Z)/0:0)","C38H72O5","Diacylglycerols","35:1","17:0/18:1","608.5380","1.0","[M+NH4]+"
652.5886@19.84,"3","79.11","98.60","99.94","85.16","5","DG(19:1(9Z)/18:1(9Z)/0:0)","C40H74O5","Diacylglycerols","37:2","19:1/18:1","634.5536","1.7","[M+NH4]+"
626.5729@19.92,"3","79.08","98.57","99.97","84.54","5","DG(17:0/18:1(9Z)/0:0)","C38H72O5","Diacylglycerols","35:1","17:0/18:1","608.5380","1.8","[M+NH4]+"
690.6039@20.09,"3","78.05","99.33","97.41","64.93","3","DG(18:0/22:4(7Z,10Z,13Z,16Z)/0:0)","C43H76O5","Diacylglycerols","40:4","18:0/22:4","672.5693","1.1","[M+NH4]+"
666.6039@20.33,"3","79.22","99.30","99.77","86.09","5","DG(18:1(9Z)/20:1(11Z)/0:0)","C41H76O5","Diacylglycerols","38:2","18:1/20:1","648.5693","1.2","[M+NH4]+"
649.5773@20.33,"3","79.08","99.38","98.54","84.37","4","DG(18:1(9Z)/20:1(11Z)/0:0)","C41H76O5","Diacylglycerols","38:2","18:1/20:1","648.5693","1.1","[M+H]+"
682.5992@20.38,"3","78.10","98.46","97.29","67.87","6","TG(12:0/12:0/14:1(9Z))","C41H76O6","Triacylglycerols","38:1","12:0/12:0/14:1","664.5642","1.7","[M+NH4]+"
668.6197@20.43,"3","78.30","99.11","96.99","70.69","4","DG(18:1(9Z)/20:0/0:0)","C41H78O5","Diacylglycerols","38:1","18:1/20:0","650.5849","1.3","[M+NH4]+"
623.5717@20.44,"3","66.97","26.06","0.00","87.27","4","DG(18:0/18:1(9Z)/0:0)","C39H74O5","Diacylglycerols","36:1","18:0/18:1","622.5536","17.2","[M+H]+"
623.5623@20.44,"3","79.05","97.81","97.71","87.71","4","DG(18:0/18:1(9Z)/0:0)","C39H74O5","Diacylglycerols","36:1","18:0/18:1","622.5536","2.2","[M+H]+"
640.5884@20.44,"3","79.48","99.06","98.36","93.09","6","DG(18:0/18:1(9Z)/0:0)","C39H74O5","Diacylglycerols","36:1","18:0/18:1","622.5536","1.4","[M+NH4]+"
692.6199@20.47,"3","78.63","98.56","98.90","76.68","4","DG(18:2(9Z,12Z)/22:1(13Z)/0:0)","C43H78O5","Diacylglycerols","40:3","18:2/22:1","674.5849","1.7","[M+NH4]+"
597.5464@20.47,"3","78.77","98.52","99.05","79.41","3","DG(16:0/18:0/0:0)","C37H72O5","Diacylglycerols","34:0","16:0/18:0","596.5380","1.9","[M+H]+"
614.5727@20.48,"3","79.28","99.16","99.97","87.34","5","DG(16:0/18:0/0:0)","C37H72O5","Diacylglycerols","34:0","16:0/18:0","596.5380","1.4","[M+NH4]+"
708.6143@20.59,"3","78.15","99.59","99.95","63.78","5","TG(12:0/14:1(9Z)/14:1(9Z))","C43H78O6","Triacylglycerols","40:2","12:0/14:1/14:1","690.5798","0.9","[M+NH4]+"
666.6043@20.59,"3","78.90","98.57","99.86","81.00","4","DG(18:2(9Z,12Z)/20:0/0:0)","C41H76O5","Diacylglycerols","38:2","18:2/20:0","648.5693","1.7","[M+NH4]+"
