Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
778.5441@15.18,"3","75.56","78.06","99.25","55.75","2","PE(19:1(9Z)/20:4(5Z,8Z,11Z,14Z))","C44H78NO8P","Diacylglycerophosphoethanolamines","39:5","19:1(9Z)/20:4(5Z,8Z,11Z,14Z)","779.5465","6.3","[M-H]-"
830.5968@15.28,"3","75.59","76.60","98.12","60.40","6","PC(18:1(10Z)/18:1(10Z))","C44H84NO8P","Diacylglycerophosphocholines","36:2","18:1(10Z)/18:1(10Z)","785.5935","6.2","[M+HCOO]-"
,"3","75.36","76.66","99.30","54.59","1","PS(18:1(9Z)/21:0)","C45H86NO10P","Diacylglycerophosphoserines","39:1","18:1(9Z)/21:0","831.5989","6.2","[M-H]-"
716.5276@15.44,"3","76.38","84.22","99.63","59.59","3","PE(16:0/18:1(11Z))","C39H76NO8P","Diacylglycerophosphoethanolamines","34:1","16:0/18:1(11Z)","717.5309","5.6","[M-H]-"
854.5974@15.44,"3","75.40","72.28","98.00","65.44","4","PC(18:0/20:4(5Z,8Z,11Z,14Z))","C46H84NO8P","Diacylglycerophosphocholines","38:4","18:0/20:4(5Z,8Z,11Z,14Z)","809.5935","6.7","[M+HCOO]-"
880.6133@15.55,"3","74.88","70.40","99.65","57.14","3","PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","C48H86NO8P","Diacylglycerophosphocholines","40:5","18:0/22:5(4Z,7Z,10Z,13Z,16Z)","835.6091","6.9","[M+HCOO]-"
830.5971@15.57,"3","75.85","74.74","98.22","69.29","3","PC(18:0/18:2(10Z,12Z))","C44H84NO8P","Diacylglycerophosphocholines","36:2","18:0/18:2(10Z,12Z)","785.5935","6.5","[M+HCOO]-"
742.5435@15.62,"3","76.49","82.79","99.40","64.85","4","PE(18:1(6Z)/18:1(6Z))","C41H78NO8P","Diacylglycerophosphoethanolamines","36:2","18:1(6Z)/18:1(6Z)","743.5465","5.7","[M-H]-"
766.5438@15.77,"3","76.00","80.75","99.34","59.18","3","PE(18:0/20:4(5E,8E,11E,14E))","C43H78NO8P","Diacylglycerophosphoethanolamines","38:4","18:0/20:4(5E,8E,11E,14E)","767.5465","5.9","[M-H]-"
742.5436@15.91,"3","76.12","81.98","99.71","58.70","3","PE(18:0/18:2(9Z,12Z))","C41H78NO8P","Diacylglycerophosphoethanolamines","36:2","18:0/18:2(9Z,12Z)","743.5465","5.8","[M-H]-"
750.5487@16.04,"3","76.32","81.65","99.93","63.16","3","PE(P-16:0/22:4(7Z,10Z,13Z,16Z))","C43H78NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","38:4","P-16:0/22:4(7Z,10Z,13Z,16Z)","751.5516","5.8","[M-H]-"
856.6131@16.06,"3","75.22","72.18","99.73","60.23","3","PC(18:0/20:3(5Z,11Z,14Z))","C46H86NO8P","Diacylglycerophosphocholines","38:3","18:0/20:3(5Z,11Z,14Z)","811.6091","6.7","[M+HCOO]-"
814.6020@16.09,"3","70.36","75.98","0.00","55.14","1","PC(P-18:1(11Z)/18:1(11Z))","C44H84NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","36:2","P-18:1(11Z)/18:1(11Z)","769.5985","6.4","[M+HCOO]-"
838.6023@16.20,"3","75.18","73.39","99.81","57.09","2","PC(O-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","C46H84NO7P","1-alkyl,2-acylglycerophosphocholines","38:5","O-18:1(9Z)/20:4(5Z,8Z,11Z,14Z)","793.5985","6.7","[M+HCOO]-"
,"3","75.18","73.39","99.81","57.09","2","PC(P-18:0/20:4(5Z,8Z,11Z,14Z))","C46H84NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","38:4","P-18:0/20:4(5Z,8Z,11Z,14Z)","793.5985","6.7","[M+HCOO]-"
814.6020@16.40,"3","75.53","75.98","99.99","58.57","2","PC(O-18:1(11Z)/18:2(9Z,12Z))","C44H84NO7P","1-alkyl,2-acylglycerophosphocholines","36:3","O-18:1(11Z)/18:2(9Z,12Z)","769.5985","6.4","[M+HCOO]-"
,"3","75.53","75.98","99.99","58.57","2","PC(P-18:0/18:2(9Z,12Z))","C44H84NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","36:2","P-18:0/18:2(9Z,12Z)","769.5985","6.4","[M+HCOO]-"
840.6175@16.49,"3","75.51","77.21","98.62","57.09","2","PC(O-18:0/20:4(5E,8E,11E,14E))","C46H86NO7P","1-alkyl,2-acylglycerophosphocholines","38:4","O-18:0/20:4(5E,8E,11E,14E)","795.6142","6.1","[M+HCOO]-"
806.5966@16.52,"3","75.81","78.29","99.78","59.80","4","PC(16:0/18:0)","C42H84NO8P","Diacylglycerophosphocholines","34:0","16:0/18:0","761.5935","6.1","[M+HCOO]-"
750.5486@16.54,"3","76.35","82.09","99.57","63.17","3","PE(P-18:0/20:4(5Z,8Z,11Z,14Z))","C43H78NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","38:4","P-18:0/20:4(5Z,8Z,11Z,14Z)","751.5516","5.8","[M-H]-"
840.6179@16.68,"3","75.00","74.37","94.72","56.45","2","PC(P-18:0/20:3(5Z,8Z,11Z))","C46H86NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","38:3","P-18:0/20:3(5Z,8Z,11Z)","795.6142","6.5","[M+HCOO]-"
726.5484@16.71,"3","76.29","83.42","99.64","59.23","2","PE(P-18:0/18:2(9Z,12Z))","C41H78NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","36:2","P-18:0/18:2(9Z,12Z)","727.5516","5.6","[M-H]-"
858.6286@16.74,"3","75.41","73.23","99.98","61.84","4","PC(20:1(11Z)/18:1(9Z))","C46H88NO8P","Diacylglycerophosphocholines","38:2","20:1(11Z)/18:1(9Z)","813.6248","6.6","[M+HCOO]-"
840.6179@16.75,"3","70.23","74.03","0.00","56.45","2","PC(P-18:0/20:3(5Z,8Z,11Z))","C46H86NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","38:3","P-18:0/20:3(5Z,8Z,11Z)","795.6142","6.6","[M+HCOO]-"
744.5592@17.01,"3","76.26","82.07","99.32","61.67","3","PE(18:0/18:1(7Z))","C41H80NO8P","Diacylglycerophosphoethanolamines","36:1","18:0/18:1(7Z)","745.5622","5.8","[M-H]-"
,"3","76.14","82.07","99.32","59.27","2","PE-NMe2(16:0/18:1(9Z))","C41H80NO8P","Diacylglycerophosphoethanolamines","34:1","16:0/18:1(9Z)","745.5622","5.8","[M-H]-"
812.5475@17.01,"3","76.90","92.24","99.14","54.34","1","PS(18:1(9Z)/20:2(11Z,14Z))","C44H80NO10P","Diacylglycerophosphoserines","38:3","18:1(9Z)/20:2(11Z,14Z)","813.5520","3.5","[M-H]-"
778.5804@17.59,"3","75.92","79.06","99.69","60.55","2","PE(P-18:0/22:4(7Z,10Z,13Z,16Z))","C45H82NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","40:4","P-18:0/22:4(7Z,10Z,13Z,16Z)","779.5829","6.1","[M-H]-"
792.6172@17.62,"3","70.88","79.03","0.00","59.58","2","PC(O-18:0/16:0)","C42H86NO7P","1-alkyl,2-acylglycerophosphocholines","34:0","O-18:0/16:0","747.6142","6.0","[M+HCOO]-"
792.6172@17.63,"3","70.75","79.16","0.00","56.72","2","PC(O-18:0/16:0)","C42H86NO7P","1-alkyl,2-acylglycerophosphocholines","34:0","O-18:0/16:0","747.6142","6.0","[M+HCOO]-"
728.5641@17.80,"3","76.10","83.20","99.97","55.69","1","PE(P-18:0/18:1(9Z))","C41H80NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","36:1","P-18:0/18:1(9Z)","729.5672","5.7","[M-H]-"
